name,price,images,category,source_url,description
ثوم بلدي 500غم,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480015-1480015-ai-optimized.png?generation=1768328639031645&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480015,
ثوم كيس,3.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480016-1480016-ai-optimized.png?generation=1768328393823512&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480016,
زهرة حبة,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480017-1480017-ai-optimized.png?generation=1768328438266819&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480017,
كوسا حجم صغير 1 كيلو,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480018-1480018-ai-optimized.png?generation=1772656597271144&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480018,
باذنجان صغير للكبيس 1 كيلو,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480024-1480024-ai-optimized.png?generation=1768003595583990&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480024,
افوكادو خشن 1 كيلو,23.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480028-1480028-ai-optimized.png?generation=1768328989539516&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480028,
نعنع ضمة,1.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480036-IMG_E4416-no-bg.png?generation=1733842152575518&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480036,
جرجير ضمة,1.50,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480037-IMG_E4417-no-bg.png?generation=1733842169756899&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480037,
كزبرة ضمة,3.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480038-IMG_E4415-no-bg.png?generation=1733842196631530&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480038,
فاصولياء خضراء 500غم,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480044-IMG_E4432-no-bg.png?generation=1733842236597400&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480044,
فاصولياء صفراء 500 غم,8.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480045-IMG_E4429-no-bg.png?generation=1733842246386761&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480045,
ذرة 1 كيلو,7.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480050-IMG_5550-no-bg.png?generation=1734358114535581&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480050,
شومر 1 كيلو,9.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480051-IMG_E4428-no-bg.png?generation=1733842274193225&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480051,
يقطين 1 كيلو,10.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480052-IMG_5553-no-bg.png?generation=1734358122189705&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480052,
بندورة قطوف 1 كيلو,5.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480054-IMG_5547-no-bg.png?generation=1734358132410737&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480054,
بندورة شيري دائرية 1 كيلو,10.00,https://storage.googleapis.com/download/storage/v1/b/biddimarket-assets/o/1480056-1480056-ai-optimized.png?generation=1768139850241974&alt=media,خضار و فواكة,https://biddimarket.ps/orders/category/خضراوات/product/1480056,
